ship direction [deg],ship speed [m/s],wind direction [deg],wind speed [m/s]
0,0,0,0
0,0,0,3
0,0,0,5
15,0,0,5
30,0,0,5
45,0,0,5
60,0,0,5
75,0,0,5
90,0,0,5
105,0,0,5
120,0,0,5
135,0,0,5
150,0,0,5
165,0,0,5
180,0,0,5
195,0,0,5
210,0,0,5
225,0,0,5
240,0,0,5
255,0,0,5
270,0,0,5
285,0,0,5
300,0,0,5
315,0,0,5
330,0,0,5
345,0,0,5
360,0,0,5
0,5,0,5
15,5,0,5
30,5,0,5
45,5,0,5
60,5,0,5
75,5,0,5
90,5,0,5
105,5,0,5
120,5,0,5
135,5,0,5
150,5,0,5
165,5,0,5
180,5,0,5
195,5,0,5
210,5,0,5
225,5,0,5
240,5,0,5
255,5,0,5
270,5,0,5
285,5,0,5
300,5,0,5
315,5,0,5
330,5,0,5
345,5,0,5
360,5,0,5
0,10,0,5
15,10,0,5
30,10,0,5
45,10,0,5
60,10,0,5
75,10,0,5
90,10,0,5
105,10,0,5
120,10,0,5
135,10,0,5
150,10,0,5
165,10,0,5
180,10,0,5
195,10,0,5
210,10,0,5
225,10,0,5
240,10,0,5
255,10,0,5
270,10,0,5
285,10,0,5
300,10,0,5
315,10,0,5
330,10,0,5
345,10,0,5
360,10,0,5
0,15,0,5
15,15,0,5
30,15,0,5
45,15,0,5
60,15,0,5
75,15,0,5
90,15,0,5
105,15,0,5
120,15,0,5
135,15,0,5
150,15,0,5
165,15,0,5
180,15,0,5
195,15,0,5
210,15,0,5
225,15,0,5
240,15,0,5
255,15,0,5
270,15,0,5
285,15,0,5
300,15,0,5
315,15,0,5
330,15,0,5
345,15,0,5
360,15,0,5
0,0,10,3
0,0,20,3
0,0,30,3
0,0,40,3
0,0,45,5
15,0,45,5
30,0,45,5
45,0,45,5
60,0,45,5
75,0,45,5
90,0,45,5
105,0,45,5
120,0,45,5
135,0,45,5
150,0,45,5
165,0,45,5
180,0,45,5
195,0,45,5
210,0,45,5
225,0,45,5
240,0,45,5
255,0,45,5
270,0,45,5
285,0,45,5
300,0,45,5
315,0,45,5
330,0,45,5
345,0,45,5
360,0,45,5
0,5,45,5
15,5,45,5
30,5,45,5
45,5,45,5
60,5,45,5
75,5,45,5
90,5,45,5
105,5,45,5
120,5,45,5
135,5,45,5
150,5,45,5
165,5,45,5
180,5,45,5
195,5,45,5
210,5,45,5
225,5,45,5
240,5,45,5
255,5,45,5
270,5,45,5
285,5,45,5
300,5,45,5
315,5,45,5
330,5,45,5
345,5,45,5
360,5,45,5
0,10,45,5
15,10,45,5
30,10,45,5
45,10,45,5
60,10,45,5
75,10,45,5
90,10,45,5
105,10,45,5
120,10,45,5
135,10,45,5
150,10,45,5
165,10,45,5
180,10,45,5
195,10,45,5
210,10,45,5
225,10,45,5
240,10,45,5
255,10,45,5
270,10,45,5
285,10,45,5
300,10,45,5
315,10,45,5
330,10,45,5
345,10,45,5
360,10,45,5
0,15,45,5
15,15,45,5
30,15,45,5
45,15,45,5
60,15,45,5
75,15,45,5
90,15,45,5
105,15,45,5
120,15,45,5
135,15,45,5
150,15,45,5
165,15,45,5
180,15,45,5
195,15,45,5
210,15,45,5
225,15,45,5
240,15,45,5
255,15,45,5
270,15,45,5
285,15,45,5
300,15,45,5
315,15,45,5
330,15,45,5
345,15,45,5
360,15,45,5
0,0,50,3
0,0,60,3
0,0,70,3
0,0,80,3
0,0,90,3
0,0,90,5
15,0,90,5
30,0,90,5
45,0,90,5
60,0,90,5
75,0,90,5
90,0,90,5
105,0,90,5
120,0,90,5
135,0,90,5
150,0,90,5
165,0,90,5
180,0,90,5
195,0,90,5
210,0,90,5
225,0,90,5
240,0,90,5
255,0,90,5
270,0,90,5
285,0,90,5
300,0,90,5
315,0,90,5
330,0,90,5
345,0,90,5
360,0,90,5
0,5,90,5
15,5,90,5
30,5,90,5
45,5,90,5
60,5,90,5
75,5,90,5
90,5,90,5
105,5,90,5
120,5,90,5
135,5,90,5
150,5,90,5
165,5,90,5
180,5,90,5
195,5,90,5
210,5,90,5
225,5,90,5
240,5,90,5
255,5,90,5
270,5,90,5
285,5,90,5
300,5,90,5
315,5,90,5
330,5,90,5
345,5,90,5
360,5,90,5
0,10,90,5
15,10,90,5
30,10,90,5
45,10,90,5
60,10,90,5
75,10,90,5
90,10,90,5
105,10,90,5
120,10,90,5
135,10,90,5
150,10,90,5
